epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1598.03,0.61118,0.40045,0.85622,0.93321,0.88493,0.91941,0.78424,0.54319,0.3698,0.86868,0.000284849,0.000284849,0.000284849
69,1620.83,0.59675,0.39508,0.85262,0.93763,0.89099,0.91352,0.78355,0.52623,0.37052,0.86645,0.00026422,0.00026422,0.00026422
70,1643.48,0.60559,0.39585,0.85233,0.95421,0.87005,0.91166,0.77825,0.52874,0.36705,0.86463,0.00024359,0.00024359,0.00024359
71,1663.59,0.56725,0.37325,0.84731,0.93925,0.87521,0.90801,0.77358,0.53881,0.3768,0.8714,0.000222961,0.000222961,0.000222961
72,1683.51,0.57719,0.37023,0.84236,0.9487,0.88328,0.92038,0.7819,0.53269,0.36624,0.87339,0.000202332,0.000202332,0.000202332
73,1703.31,0.55945,0.36167,0.83952,0.94345,0.88623,0.92301,0.79163,0.52937,0.36002,0.86944,0.000181703,0.000181703,0.000181703
74,1723.5,0.55248,0.35893,0.84235,0.94296,0.88547,0.92648,0.79381,0.53687,0.3595,0.86946,0.000161074,0.000161074,0.000161074
75,1743.53,0.55191,0.35664,0.83977,0.94684,0.8857,0.92402,0.79171,0.52528,0.35907,0.8691,0.000140445,0.000140445,0.000140445
76,1763.4,0.54502,0.35853,0.83323,0.94618,0.88632,0.91673,0.78761,0.52035,0.35776,0.86786,0.000119816,0.000119816,0.000119816
77,1783.63,0.54133,0.36269,0.83743,0.94546,0.88335,0.91508,0.78814,0.52378,0.35494,0.86837,9.91865e-05,9.91865e-05,9.91865e-05
78,1804.61,0.54724,0.35077,0.83777,0.94124,0.88478,0.91916,0.79759,0.52065,0.35595,0.86805,7.85574e-05,7.85574e-05,7.85574e-05
79,1824.85,0.54352,0.35062,0.83766,0.94242,0.88434,0.91932,0.79455,0.52035,0.35484,0.86776,5.79283e-05,5.79283e-05,5.79283e-05
80,1844.8,0.54829,0.34926,0.83934,0.94592,0.88559,0.91795,0.79964,0.52266,0.35395,0.86802,3.72991e-05,3.72991e-05,3.72991e-05
